Id,Sentiment,Comment
231,positive,dearbpk  username cra berpakain bpk cermin pribadi bpk yg sngt lembut tpi gagah moga bpk  username kel dlm lindung allah swt salam hormat dri yg kagum bpk -
232,positive,sukses kak ayu moga senantiasa naung allah swt sehat amin
233,positive,smg sehat umur yah nek muda banget cantik mashaallahhh
234,positive,terimakasih  username keluarga pilih plataran darmawangsa acara keluarga staff plataran darmawangsa kes tunggu datang keluarga sehat keluarga amin amin ya rabbi
235,positive,salam dirgantara terima kasih dukung sebar awareness kait program pesawat r80 moga momen emas titik bangkit industri pesawat terbang indonesia jaya eyang habibie yuk satu langkah terbang pesawat r80 langsung klik link bio yaaa
236,positive,semangat ya eyang habibie sehat dlm lindung allah ambisi kuat dlm kereeeennnnn moga bnyk penurus2 bangsa sprti eyang habibie
237,positive,milik cucu2 kebahagian yg nilai cucu sbg generasi terus bangsa
238,positive,wahhh kerenn tempat bagus nostalgia bersmaa keluarga
239,positive,cantik ganteng sehat bu ani keluarga
240,positive,barakallah cucu2 yg cantik ganteng  moga anak yg sholeh sholeha  bangga kelg
241,positive,bu  username cucu bikin hati gembirangangenikadang kangen ceria merekasalam kangen cucu2 cinta
242,positive,lucu ganteng parah gede pinternya ga ketulungan salam hormat bu
243,positive,terima kasih sby  ani yg tani beliau kontribusi yg indonesia 10 memimpinsemoga bahagia  sehat selaluamin
244,positive,caption ibudan kali baca captionnya langsung ajar bahasa inggris  terima kasih personal tdk kenal anie tp betapa bangga anak cucu didik generasi bangsa mandiri unggul  sehat  moga cinta kasih keluarga engkau tebar
245,positive,assalamualaikum hormat salam keluarga banda aceh bangga keluarga bahagia nya sikap etika perilaku keluarga sungguh bijaksana mas agus suami calon presiden beliau bangga salam hangat kenal keluarga ya bu darmanto rapi photo studio
246,positive,senang liat n bpk sby nikmat tua brsama cucu cinta  sehat trs ya memo n pepo  allah swt lindung memo n pepo n kel kisss
247,positive,semangat mebangun indonesia yg maju jokowi
248,positive,artis kualitas wajah itulohhh kualitas bgt hihi cantik bangetsss top deh ga pake drama gimick idupnya hihi tajir tp sederhana
249,positive,mba via sptnya siyok kejam dunia artis an mudah2an tetep sabar tetep karya dg
250,positive,suka viaorg nya jujur kaga gimmick2an hidupnyahitam ya hitamputih ya putihkl ngomong blak2ankl ngga suka dy ngomong jd ga pura2gw banget sihapa ga munafiksprti ajar ortu gwjangan suka senyum kepalsuanga kaya artis yg onoh noh yg mulut lebar kya gorong2tukang ngibulmunfik bgt kl wartawan jg jawabnyaperilaku ama omong ga balance
251,positive,go a head via cuekin aja udah gaul dunia kerja masyarakat gaul ertong yg gatel bin sirik klo liat orang sukses anggep aja kuman gak bikin status neng bahan ngetawain nggak
252,positive,gagah kali abang borisq klo gk bc nmx bner2 gk ngeh klo it bang bor
253,positive,weewww bangga kali ak liat bang  username pake baju adat karo syip
254,positive,bagus banget baju anti happy weding
255,positive,masyaallah  bagus banget
256,positive,gileee suaraaanyaa kereen parah sukak
257,positive,keren dr nyanyi asli
258,positive,kereeeeeeeeeeeeeeennn sampe merinding brrrrr
259,positive,yatuhan suaranyaaaaaaa bagus bangetttttttt
260,positive,keren suara super merdu coba audisi nyanyi bakat bs salur
261,positive,bagus drpd artis yg modal tampang doang pdhl suara jelek mending mas yg nyanyi emg dasar nasib org yak gk yg tau moga mas sukses
262,positive,dgrin sampe bulu kuduk saking bgusnya masyaallah apik bgt suara
263,positive,subhanallah getar hati dengar suara nya
264,positive,allah suara bagus banget cantik orang idam cowo
265,positive,bagusss suara tampil sesuai anak sekolah natural sesuai usia nya
266,positive,kerennnn suara bagus
267,positive,cantik polos liat bakat moga udah tenar gek selebgram ga kaya2 si mba novilda ya dek yg hilang arah tetap beginijangan cepat tumbuh dewasa asah bakat allah bless you both
268,positive,bagus iniii ga kaya yg pingin kenal rambut alus2in dlu muka makeup dl biar kamera keren hahaha kl bnr bnr liat lg lelah abis pulang sekolah
269,positive,ulang kali kali sampet gak percaya klo suara asli bagus bgt
270,positive,alhamdulillah kidz zaman niw yg karya wajar umur yg sok gede
271,positive,aduhh kerennnn suara enak  nge jazz2 gimanaa gtu  muka mah aja  ntr klo udh tenar muka ikut hahahahahaha  skill dlu nomer 1  batu abege jaman now
272,positive,kereeen nihenak bgt didengernyagak bosen puter ulang2daripada yg lipsing2 gajelas joget2 gtu
273,positive,waduuhhhkereeen bangeeet dedek2 emeesh
274,positive,klo sih yes bingitscoba ya seandaix anak2 video sprt gin video kreativ bagus dripda video mesumatau ngelem dll yg bau negativ bikin dosa maluin ortu
275,positive,bagussss  dandan natural ga permak kayak anak jaman now
276,positive,kereeeeennnn nyanyi santai banget
277,positive,polosssskerenga neko2 kayaknyajossss
278,positive,yesssssss  bagus bgt   kids jaman now yg yg diksh jempolllll
279,positive,wajah2 anak skul bgt yaakk mase alami bgt suka liat  lagu ma suara keren palg yg pake bando suara mantap
280,positive,keren suara dasar cantik tinggal poles dikit sinar
281,positive,bagi suara pas bngetpecah suara jg cakep
282,positive,keren bgt suaranyatinggal permak aja biar tmbh cantikviralkann
283,positive,kereeeennnnnn suaranyaaahh okkeehh ketjeeehh badaaiik ughllaaaallaa
284,positive,yes yes yeskirain lypsinc habis sih suaranyaeh pas dua2nya nyanyi bareng ngeh aslikereennn
285,positive,keren yg bakat ntar jg klo udah jd artis duit muka cemerlang
286,positive,keren min orang2 yg bakat kaya gin yg up publik
287,positive,kereeen bgt suara kyk gin kids jaman now
288,positive,mrinding bagus poll d jaga ya dek polos  jng smpek kyk si aw2 dkk
289,positive,kereenn sumpaah banget bagus
290,positive,ya ampun lakikny ganteng rini nya cantik mungil skrg
291,positive,suami swett liat syg bgt ma istri ganteng haaaaaaa  so swett smg langgeng sllu
292,positive,mbak rini hamil ya  selamat ya mbak moga kandung sehat aja  mbak rini  bahagia hamil  moga lancar proses salin
293,positive,kasi anak jgn sampek anak rusak jugak kek emaknya yaa
294,positive,kalo pasang cantik  ganteng suka deh liat
295,positive,hamil selamat ya mbak sandra moga hamil sehat  fit moga lancar prosesi salin udah calon nih
296,positive,ikut happysukakkk bgt sm nih couplesalah pasang sempurna gw
297,positive,lihat infotainment nikah wkt siap jelang nikah sandra dewi bilang klo calon suami ken banget cepat anak hbs meni krn suka anak sdh prepare program2 yg laku klo dlm wkt blm kasih anak but finallycongratssemoga lancar sehat trs sampe lahir
298,positive,keluarga ter-humble ter-sempurna ter-sederhana engga sok kaya ga pnah manja pake pesawat jet pribadi kayak yg
299,positive,bunda maia cantik moga slalu sukses sehat trs ya cantik wajah cantik hati
300,positive,artis yg gue kaguminn nikah muda ga neko2 syg keluarga syg suami utama anak2 ga puyeng ama dunia hibur artisann tajirrr mampuss plus ga alayy ga aneh2 salutt ama niaa smiga slalu samawa yaa nia and famzz
301,positive,username iya sih jujur fans nia aja pas tenar banget sinteronnya aja urus keluarga salut ama muda ya itungannya beda 2-3 t
302,positive,smnjk hbs nikah aura keluarr bgt suami jg kliatan syg nia nya kliatan gt tulusss sukak deh liat
303,positive,mngkin s mba nya marah2 krna ad kata2 yg ga enk dr yg komenwajar kl marahtoh it foto aj ko mba nya yg d bullysampe bawa2 fisik sgala ga bgus pinter2 mnyikapi medsos
304,positive,cantik banget yak anak cewe puyeng kali yak jagain nya
305,positive,username iya mba ariel gak ganteng ariel kharisma yg tarik udah tua skrang keriput wajah ttp aja kharisma nya lelaki liat pancar bukti mama tante tergila2 ariel sa
306,positive,manusia harga kalo tulis yg tulis guna sakit hati orang ya tulis guna sosmed smart ya guys
307,positive,kalo liat  username gaya apa ttp kliatan bagus suka lgu nya sukses trus kak
308,positive,bangat emasnyajadi salpok diemasnyatp sumpah lagu music nya keren bngatapalagi konsep mv nya ambil handelkan keren sayakalo denada taro kutang luar krn minim perestasitp kalo agnes wajarprestasi dunia fashion kalo artis indonesia unggulkrn berani gak cocok pake
309,positive,coba deh kritik2 bikin karya tau bagus kritik
310,positive,protes sihyang protes coba usaha dehjangan usaha pendek yabutuh go internationaljangan protesklau ken ya kaliam go international
311,positive,keren ga suka ma agnes tp suka ma lagu n jd suka jg ma y nyanyi santai lagu tp asyik
312,positive,bandingin lagu go internasional ngena gue seru enak didenger tumben agnes gak bumbu indonesia kaya batik gtu
313,positive,keren mba mba superman wkwkwk
314,positive,sumpah gua suka bgt lagu yg asik bgt dengernyaa
315,positive,enak banget mak lagu2 album suka yg inih sm beautiful mistake
316,positive,mantap gw suka bngt ama agneskarena dy artis yg talenta kaya dy ga pamer ky artis ygblaingw suka dy ga pamerkeren bngt
317,positive,enakk musik nyaa  lagi lhatt ka agnes nyaa dance kaya nyaa nyamaann enakk bgt tuh kayaa nyaa
318,positive,asik bgts dancenyaapa lg lagu mancappppp
319,positive,ganteng banget aura kenceng banget  diragukansemoga langgeng mami
320,positive,mami depe cantik banget awet muda ngga kalah sm nyanyi datang moga samawa  username
321,positive,ganteng yesss mami cuco deh babang moga langgeng ya unchhh lope mami
322,positive,mbak dewi sabar keliahatannya keren moga langgeng
323,positive,pasang hidup ijk salut sih mami depe ga matre n neko2 yg single n cocok doi ajak rit ga kyk tetangga sblh saking matrenya suami org embat jg
324,positive,duda singgel ngak yg laki jaman setia tani dunia akhirat amin good luck dewi persil sehat slalu dlm karya
325,positive,muantepp gantengselamat tempuh hidup mg langgeng rumah tanggax bhagia n selladem ayem
326,positive,mb depe langgeng yo karo masnymb ibu ngefans bgt sm mb depe dri mb sm mas saiful dlu smpe2 blng jdi pembntuny gapapala ktnypgn bgt ktmu mb depe ibu dijambi mb
327,positive,dengar 2 yg sakit hati tenang jalanin aja pilih andah bahagia hati maju trus sukses pasang mu
328,positive,cakepganteng pacar dewi persikudah aja jgn ganti lg yaa dewi
329,positive,untung bella orang2 fokus ama komen laki coba kalo ngga model baju diceramahin ama netizen
330,positive,pasang suami istri yg normal romantisme istri yg tau ga umbar tp jaga yg suka umbar mesra iti banyak tutup nyata yg
331,positive,naksir ama cewek kyanya lembut banget kya bolu
332,positive,cewex cntik cowox mmmmhh hehe
333,positive,cewenya cantikk the power of tajir
334,positive,alhamdulillah ganteng babang emran ya  username
335,positive,alhamdulillah  username gak yg engku emran masyaallah ganteng anteng sabar sholeh nyanyang senyum cute baper dech
336,positive,cantik manis cewe nya  cocok aja
337,positive,cewenya manis cakep yg skrg dr yg kmrn ga jd
338,positive,yg lbh cantik sih hebat jg ni lakik ciwik nya cakep2 lho
339,positive,moga klo sma yg mhklo bella mh udah dapet yg pas
340,positive,moga ga putus ya ka bella udah bahagia banget tuh ga malu
341,positive,yaampun cantiikk bangett asli angguunn
342,positive,username euum tuju sekaliii emang cantik wow  baik  pelihara hehe
343,positive,cantiik senyum maudy kusnaedi
344,positive,kisah jevin radhini rini gue jd ajar 1 jodoh jalan gue ngikutin dr gue nonton pas live the remix jevin ngomong itu pacar nonton nunjuk radhini gue jg nntn pas jevin luk radhini erat bgt backstage stlh lolos final liat jevin anak gentle tulus sayang allah maha pembolak-balik hati mei 15 jevin radhini pcrn sept 15 jevin rini dipasangin the remix des 15 final the remix jan 16 jevin radhini putus feb 16 jevin rini pcrn april 16 jevin ngelamar rini feb 17 jevin rini tunang mei 17 jevin rini nikah allah works in many ways allah s plan is better than our plan jevin yg dulunya berfikiran nikah umur 30 sangka umur 25 dlm pcrn 2 udah ngajakin anak orang nikah ah happy wedding soundwave bahagia
345,positive,arti jodohini bilang jodohcantik lahir batin kl ga jodoh pisah baik
346,positive,pingkan ni suara enak banget bindeng2 gimana gt cir khas gw merem denger suara gw udh langsung tauk
347,positive,hati buat ya  mbaa gigi hati luarbiasanya ajah sampe benci  cobaa sebutin heternya mbaa salah mba gigi laku  duhh ajah sukak sifatnyaaaaaaaaaaa
348,positive,suka banget banget nih ni artis gak neko neko lahir 1996
349,positive,alhamdulillahhh ngepost ayangnya ibel biarin deh damai isi dunia masing2 sdh pasang engga lg bilang ibel pho happy bday ibel
350,positive,kakak murid2ku msh ngajar sekolah internasional mihil anak cantik2 si bpk ramah bngt sepupu sekolah yg yg uang masuk aja 70 jtan lbh siswa g tau skrg brp
351,positive,username ka bella sholehah hasil cantik allah kasih jodoh
352,positive,mbak bela nikah dasar dasar agama mbak yg utama ya biar laki2nya dpt yg laki2 yg kaya raya yg nikahin mbak
353,positive,duh geulis kitu tinggal yg itu duuuhhhh hahaha jodoh allah kasih yg teeeh
354,positive,bu ameeel udah ga bankkangen bu amel yg cantikramahbaik ama kangen tenteng hihiii  nanya si mba bu amelnya pindah rumah lg hamil sehat2 yaa bu amelsalam annabel
355,positive,ambil positif aja mbak oma nan jalan mbak bilang gimana nggak oma langsung cerai udah pilih hidup gimana doa moga langgeng meni ibadah heheu  username
356,positive,alesha arti nama  lindung allahaamiin yra ya nak
357,positive,moga anak nya bsok pas bangun langsung jd dewasa biar jodoh gede ntar cakep kek kakak fahri
358,positive,min mnta doa jg mudah lancar selamat lahir mei aamiin
359,positive,waaah hamil cantik cew kali yeee debay nya
360,positive,mba acha cantik banget banget banget  calon yg blm d kasih momong sm allah smoga segera ya
361,positive,gemulai nya momo bak putri keraton jawa moga satu lama nya maut yg pisah kan gbu
362,positive,asa kaya manggung kk  username  moga lancar cepat momong biar princess momo gak prince
363,positive,waaahhh sm dokter sigit ya dokter the best banget banget humble orgnya recomend banget yg program hamil
364,positive,ashanti bunda the best slalu bain support anak mskipun bkn ank kndung
365,positive,smua orng hak apa yg suka g mrugikan ornglain aurel dandan natural hak aurel pinter banget dandan kliatan cantiiik banget
366,positive,untung si aurel dpt sambung kaya ashanti   username
367,positive,salut ma bunda  username  mskipun sambung tpi sellu jdi org yg plingbdpan mmbela aurel n azriel dri pra hatters
368,positive,keren ya ashanty segitu sayang anak nyapadahal anak kandung kandung aja blm orang hati kek bidadari tv tv untung banget aurel azriel tiri
369,positive,salut bunda  username slalu yg trdpan lindung ankyhmngalahin kandung sndri yg cma diam ajjbt aurel pa yg slah pd dya jga manusia cipta allah klau dya lbh sgla yh dri yg suka nyinyiir mslh pnampilan brarti dh nasib tuuh orang g bsa sprti aurel yg lbh baek n bgs dri yg nyinyiiir
370,positive,tiri hebat ntr paling klo dah 20an awat skrg msh muda kasi klo paksa awat cm ya tutup mata tutup kuping skrg mah
371,positive,username aurel cantik tau liat asli nya org sirik yg jelek jelek muka tente cantik muda aurel aurel foto nampak putib bilang suntik putih hitam bilang gk ra
372,positive,username astagfirullah mbak tolong ucap jaga ya allah cipta manusia sempurna mbak ngomongnya kayak gitu aurel cantik wajar manusia kurang mbak ashanti wajar bain anak caper ya mbak sia
373,positive,aurel perempuan hebat bgt jadi zaman pipi mimi ny  depan mata ga anak bs strong kyk yg nyinyir iri krn aurel bs keluarga bahagia kyk skrg yg blg bunda ash lebay blm anak hati2 sayangkm jg perempuan jd bayangin anak yg jd korban bully
374,positive,ganteng klo ga salah managernya moga d lancar yaa
375,positive,muka insya allah jodoh dunia akhirat mbk  username amiiii
376,positive,cantik banggeett ya kak depe  gk liat loh klo dy nikah msh gadis wajah nya cantik  moga lancar h kak depe bahagia dunia akhirat aammiinnn
377,positive,dadddd  moga dateng yaaa  papa luar moga sehat  saksi anak meni aamiin
378,positive,moga lancar nikah ayah lekas temu sehat apa
379,positive,moga aja nikah lancar y mb jgn larut sedih kl tiri gak yg kandung sj alas anak kandung larang sj udah balik istri pertama kl sibapak berrti cerita yaa
380,positive,yea polisi pinter hahahaha langsung belok sim nembak gatau rambu2 surat perintah yaelah lu pikir rumah lu geledah
381,positive,nikah baguass deh smoga kelak jd kluarga yg samawa
382,positive,lucu suara kak abbey cantik kayak orang nya  haru
383,positive,ketemu mba artika sari disesemall jakartaampunnn ayuneemana semampaimurah senyummmcakep pis
384,positive,bener pepatah yess buah jatuh gak pohon nya cantik nya dapet mama suara bagus pinter nyanyi darah seni papa nya calon generasi hebat
385,positive,bahagia anak cantik bakat syukur bnr titip indah
386,positive,moga sehat rezeki yg berlimpaah
387,positive,moga sehat murah rejekinya ya
388,positive,pria setia kerja keras tdk malu pilih cari nafkah kebalikanbeda bgt kenal mentang2 ganteng milih nganggur ketimbang jd ojol udh gitu istri diselingkuhin kalo mau
389,positive,doa istri anak serta bang lelaki yg tanggung karna kalo laki2 tanggung otomatis sayang dgn anak istri beda dgn sayang yg tanggung
390,positive,ya allah bahagia gak dgn yg mewah sederhana aj deh bahagia komunikasi dgn keluarga
391,positive,cari rejeki utk keluarga yg tdk kenan tolong keras
392,positive,salut banting tulang hidup keluargayg duduk bangku empukpakai ac merampokyg milih rakyat jelata
393,positive,amin smg lancar n mudah rejeki nya jd inget suami sy jg gojek srg nlp nanyain anak istri nya udah mkn blm pdhl mgkn sempet mkn ngga hujan2an n panas2an tp ga penh keluh sempat komunikasi n ttp keep in touch sela2 sibuk bangga n ttp juang y ms gojek krn anak n istri doa yg baik
394,positive,respect istri n anak2 nya yg tunggu sabar rumah insya allah allah swt jaga nya
395,positive,laki beneran juang unt anak istri bahagia istri insyaallah dunia rejeki yg ga sangka akherat surga kelak amiin
396,positive,bangga suami yg istri sela apa profesi kau juara sehat gojek moga lacar rejekimu amiiin
397,positive,apaoun kerja yg halal u tuk nafkah keluarga  semangat
398,positive,gojek mayoritas pegangguran gak kerja trus putus asaa tibatiba lapang kerja gak pake ijasah sungguh lapang kerja bantu
399,positive,username asli cantik ayu loh mbak krn temu langsung sembak ramah sombong mantan2 yg hhe maaf nimbrung kalo makeup natural krn sembak tonjol wa
400,positive,username suami umur mba tua alhamdulillah suami gak kekanak kana hehe
